Time,Open,High,Low,Close,Volume
04.04.2014 19:00:00.000,1.37022,1.37082,1.36975,1.37016,4857.1001
05.04.2014 19:00:00.000,1.37016,1.37016,1.37016,1.37016,0.0000
06.04.2014 19:00:00.000,1.37016,1.37486,1.36943,1.37390,94044.0510
07.04.2014 19:00:00.000,1.37391,1.38115,1.37374,1.37936,134226.7297
08.04.2014 19:00:00.000,1.37936,1.38570,1.37799,1.38536,136004.5880
09.04.2014 19:00:00.000,1.38538,1.38990,1.38360,1.38901,143558.5083
10.04.2014 19:00:00.000,1.38903,1.39056,1.38635,1.38868,128819.1193
11.04.2014 19:00:00.000,1.38869,1.38884,1.38806,1.38843,6465.2002
12.04.2014 19:00:00.000,1.38843,1.38843,1.38843,1.38843,0.0000
13.04.2014 19:00:00.000,1.38843,1.38843,1.38081,1.38207,116202.8903
14.04.2014 19:00:00.000,1.38207,1.38331,1.37903,1.38095,122556.9404
15.04.2014 19:00:00.000,1.38093,1.38508,1.38037,1.38207,120717.3596
16.04.2014 19:00:00.000,1.38207,1.38645,1.38111,1.38187,106463.3393
17.04.2014 19:00:00.000,1.38187,1.38223,1.38085,1.38155,31138.8799
18.04.2014 19:00:00.000,1.38156,1.38163,1.38077,1.38077,1555.1700
19.04.2014 19:00:00.000,1.38077,1.38077,1.38077,1.38077,0.0000
20.04.2014 19:00:00.000,1.38077,1.38304,1.37871,1.37960,40771.9100
21.04.2014 19:00:00.000,1.37959,1.38248,1.37850,1.38020,97670.6788
22.04.2014 19:00:00.000,1.38020,1.38546,1.38003,1.38159,132025.5090
23.04.2014 19:00:00.000,1.38160,1.38429,1.37914,1.38249,126289.2502
24.04.2014 19:00:00.000,1.38249,1.38482,1.38249,1.38366,98988.0603
25.04.2014 19:00:00.000,1.38367,1.38380,1.38311,1.38329,4745.7801
26.04.2014 19:00:00.000,1.38329,1.38329,1.38329,1.38329,0.0000
27.04.2014 19:00:00.000,1.38329,1.38794,1.38147,1.38535,120902.4317
28.04.2014 19:00:00.000,1.38535,1.38791,1.38055,1.38092,153152.1309
29.04.2014 19:00:00.000,1.38094,1.38765,1.37750,1.38722,196657.5180
29.04.2014 19:00:00.000,1.38094,1.38765,1.37750,1.38722,196657.5180
30.04.2014 19:00:00.000,1.38720,1.38892,1.38628,1.38646,106571.3898
01.05.2014 19:00:00.000,1.38647,1.38813,1.38122,1.38707,173832.4479
02.05.2014 19:00:00.000,1.38707,1.38758,1.38685,1.38706,6510.8801
03.05.2014 19:00:00.000,1.38706,1.38706,1.38706,1.38706,0.0000
04.05.2014 19:00:00.000,1.38706,1.38860,1.38645,1.38771,117392.4907
05.05.2014 19:00:00.000,1.38773,1.39512,1.38721,1.39335,143424.7815
06.05.2014 19:00:00.000,1.39336,1.39385,1.39116,1.39161,170186.7690
07.05.2014 19:00:00.000,1.39163,1.39933,1.38485,1.38526,211109.7015
08.05.2014 19:00:00.000,1.38526,1.38540,1.37451,1.37460,208237.6904
09.05.2014 19:00:00.000,1.37463,1.37610,1.37459,1.37553,8699.2099
10.05.2014 19:00:00.000,1.37553,1.37553,1.37553,1.37553,0.0000
11.05.2014 19:00:00.000,1.37553,1.37748,1.37494,1.37553,117891.8296
12.05.2014 19:00:00.000,1.37552,1.37714,1.36891,1.36987,199752.2283
13.05.2014 19:00:00.000,1.36987,1.37308,1.36977,1.37058,165522.3390
